No., Código Dpto.,CódigoMunicipio, Código Institución Educativa, Nombre,  Dirección,Ubicación en Mapa, Teléfono, Nombre Rector, Tipo Establecimiento, Sector, Zona, Jornadas, Niveles, Grados, Modelos Educativos,  Capacidades Excepcionales, Discapacidades, Idiomas, Número de Sedes, Estado, Calendario, Correo Electrónico
18,76,76520,376520007601,LICEO PEDAGÓGICO LOS ALPES,Calle 34 # 21 - 60,"(3.530403, -76.293003)",2739211-3154670482,"ALEXANDRA AGUDELO
 SARMIENTO",CENTRO EDUCATIVO,NO OFICIAL,URBANA,COMPLETA,"PREESCOLAR,PRIMERA INFANCIA",-6,EDUCACIÓN TRADICIONAL,,,,1,NUEVO-ACTIVO,B,alexanasar@hotmail.com
19,76,76520,376520007644,LICEO PEQUEÑOS SABIOS L.P.S.,Carrera 29 # 33 - 74,"(3.531017, -76.29912)",3165545152,"ERIKA NATALIA HURTADO 
GOMEZ",CENTRO EDUCATIVO,NO OFICIAL,URBANA,MAÑANA,PREESCOLAR,-3,EDUCACIÓN TRADICIONAL,,,,1,NUEVO-ACTIVO,B,nataliahurtadog@gmail.com
20,76,76520,376520007725,LICEO PSICOPEDAGOGICO VALIENTES,Carrera 29 # 25 - 66,"(3.523353, -76.300333)",3003239869,"ANDRES FELIPE CASTRO
 HERNANDEZ",CENTRO EDUCATIVO,NO OFICIAL,URBANA,MAÑANA,"PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,,,1,NUEVO-ACTIVO,B,gladys_mafla@hotmail.com
21,76,76520,376520005943,LICEO NUEVA GENERACIÓN,Carrera 36a # 25 - 16,"(3.523311, -76.308546)",2870808,"GLORIA MILDRED VANEGAS
 POLANIA",CENTRO EDUCATIVO,NO OFICIAL,URBANA,"MAÑANA,TARDE","PREESCOLAR,BÁSICA PRIMARIA,PRIMERA INFANCIA","-3,-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,DI-COGNITIVO,,1,ANTIGUO-ACTIVO,A,liceonuevageneracion8@hotmail.com mildredv38@hotmail.com
22,76,76520,376520038025,DELFINES LICEO BILINGUE INTEGRAL,Carrera 28 # 38 - 22,"(3.534882, -76.29771)",2809410,ERICKA RAGEL PEJENDINO,CENTRO EDUCATIVO,NO OFICIAL,URBANA,,,,,,,INGLÉS,1,CIERRE DEFINITIVO,B,orodaetamente@hotmail.com
23,76,76520,376520003517,COLEGIO NUEVO EDEN,Carrera 26 # 37 - 58,"(3.533806, -76.296077)",2721118-3006085418,"LUZ MARINA ROJAS
 RODRIGUEZ",CENTRO EDUCATIVO,NO OFICIAL,URBANA,COMPLETA,"PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5","ESCUELA NUEVA,

EDUCACIÓN TRADICIONAL",,"LESIÓN
 NEUROMUSCULAR",INGLÉS,1,ANTIGUO-ACTIVO,A,gpcb@hotmail.com -- nuevo.eden@hotmail.com
24,76,76520,376520006303,JARDIN INFANTIL MI PEQUEÑO ARCO IRIS,Carrera 42 # 38a-05,"(3.535541, -76.312858)",3157610467-2879622,ISABEL MUÑOZ MENDOZA,CENTRO EDUCATIVO,NO OFICIAL,URBANA,"MAÑANA,TARDE","PREESCOLAR,BÁSICA PRIMARIA,PRIMERA INFANCIA","-3,-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,A,lospequesarcoiris@hotmail.com
25,76,76520,376520005731,COLEGIO INFANTIL SOL NACIENTE,Carrera 30 # 25 - 39,"(3.523315, -76.301411)",2721129,ELIZABETH MONTAÑA DIAZ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,,,,,,,,1,CIERRE DEFINITIVO,B,
26,76,76520,376520006761,LICEO MAYOR JOSE MARTI,Calle 37  # 9 - 36,"(3.533789, -76.282622)",2867187-3206748917,"JULIETH CEBALLOS
 MOSCOSO",CENTRO EDUCATIVO,NO OFICIAL,URBANA,"MAÑANA,TARDE","PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,"LESIÓN 
NEUROMUSCULAR",INGLÉS,1,ANTIGUO-ACTIVO,A,colegioliceomayorjosemarti@hotmail.com
27,76,76520,376520000453,INSTITUTO SANTA INES,Carrera 21 # 32 - 56,"(3.528739, -76.292735)",2725378,"MARIA DIENY
 LOPEZ",INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,,,,,,,,1,CIERRE TEMPORAL,B,Santa_Ines2@Hotmail.com
28,76,76520,376520005544,LICEO INFANTIL ESCALERITAS,Calle 51 # 34a - 33,"(3.544998, -76.30297)",2709375-3173816905,"LUCILA
 MURILLO JAIMES",CENTRO EDUCATIVO,NO OFICIAL,URBANA,COMPLETA,"PREESCOLAR,BÁSICA PRIMARIA,PRIMERA INFANCIA","-3,-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,B,liceoescaleritas@hotmail.com
29,76,76520,376520006095,JARDIN INFANTIL MONY,Calle 55a # 42 - 08,"(3.54718, -76.313013)",2749929,"ELIZABETH 
BETES
 VARELA",CENTRO EDUCATIVO,NO OFICIAL,URBANA,COMPLETA,"PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,B,
30,76,76520,376520007318,LICEO PEDAGOGICO PASO A PASO,Calle 34 # 21 - 60,"(3.530403, -76.293003)",2739211,"MAGNOLIA 
GARCIA",CENTRO EDUCATIVO,NO OFICIAL,URBANA,MAÑANA,PREESCOLAR,-3,EDUCACIÓN TRADICIONAL,,"DI-COGNITIVO,LESIÓN 
NEUROMUSCULAR",INGLÉS,1,NUEVO-ACTIVO,B,liceopasoapaso@hotmail.com
31,76,76520,376520006621,JARDIN INFANTIL HUELLITAS,Calle 31 # 1 Este - 69,"(3.525149, -76.277225)",2737570,"CLAUDIA
 PATRICIA
 PEÑA",CENTRO EDUCATIVO,NO OFICIAL,URBANA,"MAÑANA,TARDE",PREESCOLAR,-3,EDUCACIÓN TRADICIONAL,,DI-COGNITIVO,INGLÉS,1,ANTIGUO-ACTIVO,A,
32,76,76520,376520007245,GIMNASIO PSICOPEDAGICO DEL GRAN VALLE,Calle 31 # 38a - 32,"(3.5295, -76.308919)",2810267,"IVONNE 
ARANGO",CENTRO EDUCATIVO,NO OFICIAL,URBANA,TARDE,"PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,B,
33,76,76520,376520005781,COLEGIO COMFANDI REGIONAL PALMIRA,Carrera 33a # 26 - 42,"(3.524578, -76.304565)",2705800 ext 37333- 3165224204-3217102905,LAURA MILENA MARMOLEJO DELGADO,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,"MAÑANA,NOCTURNA,FIN DE SEMANA","MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","6,7,8,9,10,11,21,22,23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD  Y ADULTOS,EDUCACIÓN TRADICIONAL",,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,OTRO,directorcolegiopalmira@comfandi.com.co
34,76,76520,476520005646,LICEO CONSTRUCTORES DE SABIDURIA,Calle 23 # 26 - 59,"(3.520859, -76.298751)",2706770-3185547039,"DEBORA
 MINA
 FORY",INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,MAÑANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,A,liceoconstructoresdesabiduria@hotmail.com
35,76,76520,376520001395,INSTITUCION EDUCATIVA COLOMBO ESPAÑOL ALFEREZ REAL,Calle 30 # 31 - 78,"(3.527439, -76.302236)",2722310-3158612742,"CLARA
 EUGENIA 
CIFUENTES 
FAJARDO",INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,"MAÑANA,NOCTURNA,FIN DE SEMANA","MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","1,2,3,4,5,6,7,8,9,10,11,23,24,25,26","PROGRAMA PARA JÓVENES EN 
EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL",,"DI-COGNITIVO,LESIÓN 

NEUROMUSCULAR,HIPOACUSIA O BAJA AUDICIÓN",INGLÉS,1,ANTIGUO-ACTIVO,B,institutoalferezreal@hotmail.com
36,76,76520,376520005145,LICEO TECNICO COMERCIAL AVANCEMOS,Carrera 31 # 27 - 49,"(3.525233, -76.301966)",2736898 - 2726306-3162885461,"BLANCA
 NIDIA 
YEPES SOTO",INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,"MAÑANA,TARDE","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA,PRIMERA INFANCIA","-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,B,liceoavancemos@hotmail.com
37,76,76520,376520006389,LICEO MUNDO DE BARNEY,Carrera 18 # 26 - 36,"(3.522875, -76.290876)",3162336658,JEILLY RAMOS DIAZ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,,,,,,DI-COGNITIVO,INGLÉS,1,CIERRE TEMPORAL,B,jg2321@hotmail.com
38,76,76520,376520007458,COLEGIO SAN RAFAEL ARCANGEL,Carrera 14 # 27A - 16,"(3.523487, -76.28767)",2876626-3154142656,SANDRA MILENA ARIAS ZUÑIGA,CENTRO EDUCATIVO,NO OFICIAL,URBANA,"MAÑANA,TARDE","PREESCOLAR,BÁSICA PRIMARIA,PRIMERA INFANCIA","-3,-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,,,1,NUEVO-ACTIVO,A,colegiosanrafaelarcangel@outlook.es
39,76,76520,376520007440,LICEO PSICOPEDAGÓGICO DESPERTAR,Calle 47a # 40 - 15,"(3.542828, -76.311784)",2861413 - 300 7766785,ERIKA ANDREA RODRÍGUEZ MONTAÑO ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,MAÑANA,"PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,,,1,NUEVO-ACTIVO,A,liceopsicopedagogicodespertar@gmail.com psicologarodriguez@gmail.com
40,76,76520,476520007622,LICEO PEDAGOGICO MAYOR VENCEDORES,Calle 5 # 3 - 372,"(3.532592, -76.314858)",3207054841,AMPARO AMAYA CASTRO,CENTRO EDUCATIVO,NO OFICIAL,URBANA,MAÑANA,"PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,,,1,NUEVO-ACTIVO,A,claupsa1@hotmail.com
41,76,76520,376520007491,JARDÍN PSICOPEDAGÓGICO LA CASA DE LOS NIÑOS,Calle 48 # 28 - 04,"(3.54351, -76.296554)",2707924-3113217720,"MARÍA DEL SOCORRO
 CALVO OSORIO",CENTRO EDUCATIVO,NO OFICIAL,URBANA,MAÑANA,"PREESCOLAR,PRIMERA INFANCIA",-6,EDUCACIÓN TRADICIONAL,,,,1,NUEVO-ACTIVO,B,madesco0824@hotmail.com
42,76,76520,376520007482,JARDIN PEQUEÑOS RETOÑITOS,Carrera 25 # 3 - 30 OESTE,"(3.501159, -76.296533)",3145210882,"FLOR ANGELA GIRALDO
 CEBALLOS",CENTRO EDUCATIVO,NO OFICIAL,URBANA,COMPLETA,"PREESCOLAR,PRIMERA INFANCIA",-6,EDUCACIÓN TRADICIONAL,,,,1,NUEVO-ACTIVO,B,jardinretonitos@gmail.com florangice@gmail.com
43,76,76520,376520003983,HOGAR INFANTIL LOS CIERVITOS,Carrera 21 # 40 - 15,"(3.535748, -76.291823)",3176810560-2733382,LUZ ENSUEÑO SERNA,CENTRO EDUCATIVO,NO OFICIAL,URBANA,,,,,,"SÍNDROME DE
 DOWN",,1,CIERRE TEMPORAL,B,losciervitos@yahoo.com
44,76,76520,376520006079,CENTRO EDUCATIVO SENDERO DEL FUTURO,Cra. 28e #68-21,"(3.556016, -76.294032)",3188001421,FLOR ALBA ORDOÑEZ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,COMPLETA,"PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,A,deyag17@hotmail.com
45,76,76520,376520002987,COLEGIO VILLA DE LAS PALMAS,Calle 30 # 15 - 78,"(3.525617, -76.288488)",2723740-3188200273,NIDIA MARTINEZ GARCIA,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,MAÑANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,A,colegiovilladelaspalmas@hotmail.com
46,76,76520,476520007127,INSTITUTO TECNICO COMERCIAL  JUAN PABLO II,Carrera 30 # 95 - 50 Ciudad del Campo,"(3.459586, -76.465904)",2801773-3154316066,"MARIA DEL CARMEN ROJAS
 ROJAS",INSTITUCION EDUCATIVA,NO OFICIAL,RURAL,MAÑANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,A,saramaria2010@hotmail.com
47,76,76520,376520006559,LICEO PEDAGOGICO MIS PRIMERAS AVENTURAS,Cl. 51 42-43,"(3.544472, -76.313503)",2712659 - 3137873192,"CLAUDIA MARIANA GARCIA
 GRANOBLES",CENTRO EDUCATIVO,NO OFICIAL,URBANA,MAÑANA,"PREESCOLAR,BÁSICA PRIMARIA,PRIMERA INFANCIA","-3,-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,"DI-COGNITIVO, LESIÓN NEUROMUSCULAR",INGLÉS,1,ANTIGUO-ACTIVO,A,liceomisprimerasaventuras@hotmail.com
48,76,76520,376520000054,INSTITUTO TECNICO INDUSTRIAL FRAY LUIS AMIGO,Calle 41 # 48 - 00,"(3.537735, -76.31702)",2729038-3115925541,GILBERTO RUBIO GUERRERO,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,COMPLETA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,"DI-COGNITIVO,LESIÓN
 NEUROMUSCULAR,HIPOACUSIA O BAJA AUDICIÓN",INGLÉS,1,ANTIGUO-ACTIVO,A,secretariofrayluis@hotmail.com
49,76,76520,376520006338,COLEGIO LUZ DE COLOMBIA,Carrera 15 # 35 - 64,"(3.531913, -76.287249)",3156530394--2877656,PAULA ANDREA HERNANDEZ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,"MAÑANA,TARDE","PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,A,colegioluzdecolombia@gmail.com
50,76,76520,376520007151,COLEGIO AGUSTINIANO CAMPESTRE,Calle 65 # 27 - 50,"(3.551814, -76.291735)",2747473 - 2737271-3152575230,PADRE DANILO ISAI ROMERO RABA,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,COMPLETA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,B,secretariaagustinianopalmira@hotmail.com
51,76,76520,476520007282,COLEGIO CIUDAD DEL CAMPO,Calle 97 # 16 - 21 Ciudad del Campo,"(3.456817, -76.469473)",2855411--3157783457,"JHON FREDDY CUARTAS 
GALEANO",INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,COMPLETA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,"LESIÓN
NEUROMUSCULAR",INGLÉS,1,ANTIGUO-ACTIVO,A,colmabcc@hotmail.com
52,76,76520,376520005617,CENTRO EDUCATIVO SANTO DOMINGO,Carrera 35 # 63A - 61,"(3.560193, -76.301759)",2742894,MARIA OFELIA PEREZ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,,,,,,NO APLICA,INGLÉS,1,CIERRE DEFINITIVO,B,
53,76,76520,376520007296,LICEO GENIOS CREATIVOS,Calle 47C # 14A - 17,"(3.543135, -76.287126)",3207200722,LILIANA MARIA GUAYARA,CENTRO EDUCATIVO,NO OFICIAL,URBANA,COMPLETA,"PREESCOLAR,PRIMERA INFANCIA",-6,EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,NUEVO-ACTIVO,A,LILOGU_@HOTMAIL.COM
54,76,76520,376520004513,COLEGIO MI BELLO AMANECER,Carrera 11 # 36 - 32,"(3.532903, -76.284074)",3168704279-2839236,"FLOR MARINA ORJUELA DE 
ROCHA",CENTRO EDUCATIVO,NO OFICIAL,URBANA,MAÑANA,"PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,A,linita-tk@hotmail.com
55,76,76520,376520006397,LICEO SAN FERNANDO,Calle 23B # 18 - 14,"(3.521397, -76.291091)",2701109,MARTHA CECILIA LOZANO,CENTRO EDUCATIVO,NO OFICIAL,URBANA,,,,,,NO APLICA,,1,CIERRE TEMPORAL,B,
56,76,76520,376520007377,LIC INF ARCO IRIS DE AMOR,Calle 13 # 26 - 23,"(3.512305, -76.299234)",2859782-3152768730,ADELAYDA GONZALEZ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,COMPLETA,"PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,NUEVO-ACTIVO,A,liarcoirisdeamor@hotmail.com
57,76,76520,376520004688,COLEGIO MILITAR GENERAL AGUSTIN CODAZZI,Carrera 32 # 8 - 10,"(3.509703, -76.307389)",2722798 2730945 3154184313,RAFAEL ESCOBAR,CENTRO EDUCATIVO,NO OFICIAL,URBANA,MAÑANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,NO APLICA,"INGLÉS,FRANCES",1,ANTIGUO-ACTIVO,B,colegiomilitarpalmira@gmail.com
58,76,76520,376520006770,ACADEMIA COLOMBIANA DE ENSEÑANZA,Carrera 33 # 30 -79,"(3.52832, -76.303398)",2855770-2726306-4,NORBERTO ARCILA MARQUEZ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,"MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA","MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","21,22,23,24,25,26","PROGRAMA PARA JÓVENES 

EN EXTRAEDAD Y ADULTOS,SER",,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,OTRO,a.c.e.03@hotmail.com
59,76,76520,476520006359,COLEGIO JESUS DE NAZARETH,Calle 36 # 96C - 03 Ciudad del Campo,"(3.460321, -76.464287)",6625903 -3158905976,MARTHA RUTH DONEYS,CENTRO EDUCATIVO,NO OFICIAL,URBANA,"MAÑANA,TARDE","PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,"CAPACIDADES
 EXCEPCIONALES","TRANSTORNO DEL ESPECTRO 
AUTISTA,SV-BAJA VISIÓN,DI-COGNITIVO",INGLÉS,1,ANTIGUO-ACTIVO,B,vidaldonneys@hotmail.com
60,76,76520,376520005056,LICEO INDUSTRIAL MIXTO SURAMERICA LIMSA,Calle 44 # 28 - 112 Y Calle 46 # 28 - 115,"(3.539407, -76.297962)",2747880,GAMALIEL NIETO CARDENAS,CENTRO EDUCATIVO,NO OFICIAL,URBANA,,,,,,,,1,CIERRE DEFINITIVO,B,
