COMUNA,CODIGO DANE ,INSTITUCIÓN EDUCATIVA OFICIAL,ESPECIALIDAD,NIVEL EDUCATIVO,BARRIO,DIRECCION,TELEFONO
15,176001028872,I.E CARLOS HOLGUIN MALLARINO,ACADEMICA - MEDIA TECNICA,ACELERACIÓN - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,COMUNEROS 1,CALLE 55A #30B-50,(572) 4263307 EXT 101 y 104
15,17600102887202,MIGUEL DE POMBO,ACADEMICA - MEDIA TECNICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,MOJICA I,CALLE 92 #28D4-13,(572) 6661174
15,17600102887203,NIÑO JESUS DE ATOCHA},ACADEMICA - MEDIA TECNICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA,MOJICA I,CALLE 83 #28E3-05,(572) 4234105
15,176001043791,I. E CIUDADELA NUEVO LATIR,ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA,ALFONSO BONILLA ARAGON,CALLE 76 #28-20,(572) 4269345
15,176001043847,CIUDADELA EDUCATIVA ISAIAS DUARTE CANCINO,ACADEMICA,PRIMARIA - SECUNDARIA - MEDIA,MOJICA,CALLE 96 #28E3-02,(572) 4140010
16,176001028970,I.E TECNICO INDUSTRIAL DONALD RODRIGO TAFUR ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,REPUBLICA DE ISRAEL,CARRERA 43B #40-11,(572) 3377731
16,17600102897002,FRANCISCO JOSE RUIZ,ACADEMICA,PRIMARIA,REPUBLICA DE ISRAEL,CARRERA 43B  #38A-16,(572) 3281352
16,17600102897003,ALEJANDRO MONTAÑO,ACADEMICA,PRIMARIA,UNION DE VIVIENDA POPULAR,CARRERA 41 H #38-44,(572) 3281963
16,17600102897004,ANTONIO NARIÑO,ACADEMICA,PRIMARIA,ANTONIO NARIÑO,CARRERA 40 #38 - 38,(572) 3711669
16,17600102897005,JOSE MARIA CARBONELL,ACADEMICA,PRIMARIA,ANTONIO NARIÑO,CARRERA 39 #39 D 86,(572) 3711669
16,176001004256,I.E CRISTOBAL COLON,ACADEMICA - MEDIA TECNICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA - CIClOS EDUCACIÓN PARA ADULTOS,MARIANO RAMOS,CARRERA 47A #44-62,(572) 4022710
16,17600100425602,JOSE JUAQUIN JARAMILLO,ACADEMICA,PRIMARIA,REPUBLICA DE ISRAEL,CARRERA 44 #44-64,337-47-46
16,17600100425603,BIENESTAR SOCIAL ,ACADEMICA,PRIMARIA - ACELERACIÓN,MARIANO RAMOS,CARRERA 47B #45-74,(572) 3377969
16,17600100425604,ANTONIA SANTOS,ACADEMICA,PRIMARIA,REPUBLICA DE ISRAEL,CARRERA 43 #43-04,3325710 - 3328642
16,176001040119,I. E RODRIGO LLOREDA CAICEDO ,MEDIA TECNICA,SECUNDARIA - MEDIA,MARIANO RAMOS,CALLE 38A #47A-45,3283404-3275201
16,17600104011902,LUIS ENRIQUE MONTOYA,ACADEMICA,PRIMARIA - ACELERACIÓN,MARIANO RAMOS,CARRERA 46 #38A-50,(572) 3277588
16,17600104011903,PRIMITIVO CRESPO,ACADEMICA,PRIMARIA - ACELERACIÓN,BRISAS DEL LIMONAR,CALLE 41 #51A-30,(572) 3320875
16,17600104011904,MICAELA CASTRO BORRERO,ACADEMICA,PRIMARIA - ACELERACIÓN,MARIANO RAMOS,CARRERA 46 #38A-39,(572) 3280105
16,176001006356,I. E LIBARDO MADRID VALDERRAMA ,ACADEMICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,UNION DE VIVIENDA POPULAR,CARRERA 41H #39 - 73,3283422 ext 105 - 108
16,176001006356,ANGELICA SIERRA ARIZABALETA,ACADEMICA,PRIMARIA,UNION DE VIVIENDA POPULAR,CALLE 40 #39-58,(572) 3283422
16,176001006356,PABLO NERUDA,ACADEMICA,PRIMARIA,ANTONIO NARIÑO,CARRERA 39D #38-44,(572) 3283422
16,176001006356,PRIMERO DE MAYO,ACADEMICA,PRIMARIA - ACELERACIÓN,ANTONIO NARIÑO,CARRERA 39 #37-14,(572) 3283422
16,176001007131,I. E CARLOS HOLMES TRUJILLO ,MEDIA TECNICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA,REPUBLICA DE ISRAEL,CARRERA 43 CALLE 44 ESQUINA,(572) 3923140
16,17600100713102,LISANDRO FRANKY,MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA - CIClOS EDUCACIÓN PARA ADULTOS,ANTONIO NARIÑO,CARRERA 40 CALLE 46 ESQUINA,(572) 3280668
16,17600100713103,CRISTO MAESTRO,MEDIA TECNICA,PRIMARIA - ACELERACIÓN,UNION DE VIVIENDA POPULAR,CARRERA 41F CALLE 44 ESQUINA ,(572) 3384737
16,17600100713104,POLICARPA SALAVARRIETA ,MEDIA TECNICA,PRIMARIA - SECUNDARIA,ANTONIO NARIÑO,CARRERA 40 CALLE 44 ESQUINA ,(572) 3280128
17,176001032055,I.E I.T.I COMUNA 17 ,TECNICO INDUSTRIAL,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,CAÑAVERALES,CARRERA 53 #18A-25,(572) 3150537
17,17600103205502,LUIS CARLOS ROJAS GARCES,ACADEMICA,PRIMARIA,PRIMERO DE MAYO,CARRERA 56 #13F-40,(572) 3318530
18,176001014138,I.E LA ESPERANZA ,ACADEMICA - MEDIA TECNICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA - CIClOS EDUCACIÓN PARA ADULTOS,ALTO JORDAN,CARRERA 94A OESTE #1A-1-46,(572) 3332019
18,17600101413802,MAGDALENA ORTEGA DE NARIÑO,ACADEMICA - MEDIA TECNICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,POLVORINES,CALLE 4 OESTE #94A-54,(572) 3326804
18,17600101413803,MONSEÑOR LUIS ADRIANO DIAZ ,MEDIA TECNICA,PRIMARIA,ALTO MELENDEZ,CARRERA 94C #2-111,(572) 3325191
18,176001004515,I.E JUAN PABLO II SEDE PORTETE DE TARQUI,ACADEMICA - MEDIA TECNICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA,PRADOS DEL SUR,CALLE 1A  #72-23,(572) 3240917
18,176001004515,PORTETE DE TARQUI,ACADEMICA - MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS, LOURDES,CALLE 1A OESTE #73-00,(572) 3231730
18,176001011724,ALVARO ESCOBAR NAVIA,ACADEMICA,PRIMARIA - ACELERACIÓN - CICLOS EDUCACIÓN PARA ADULTOS,PRADOS DEL SUR,CARRERA 73D #1B-85,(572) 3230198
18,176001022572,TEMPLO DEL SABER,ACADEMICA,PRIMARIA,ALTO LOS CHORROS,CALLE 2C OESTE #75-10,(572) 3233551
18,176001011163,I.E ALVARO ECHEVERRY PEREA,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,MELENDEZ,CALLE 4 # 92-4,(572) 3328642
18,176001011163,LUIS EDUARDO NIETO CABALLERO,ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA,MELENDEZ,CARRERA 92 #4-119,(572) 4028127
18,176001011163,EDUARDO RIASCOS GRUESO,ACADEMICA,PRIMARIA,MELENDEZ,CARRERA 93 #2A-00,(572) 3928577
18,176001011163,RUFINO JOSE CUERVO,ACADEMICA,PRIMARIA - ACELERACIÓN,MELENDEZ,CALLE 4  #92-4,(572) 3328642
19,176001013310,I.E POLITECNICO MUNICIPAL DE CALI ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA,PAMPALINDA,CARRERA 62  #2-28,(572) 5523616 - (572) 5521240 - (572) 5523681
19,17600101331002,GENERAL SANTANDER,ACADEMICA,PRIMARIA,BUENOS AIRES,CALLE 5 #70-160,(572) 8828377
19,17600101331003,CELIMO RUEDA,ACADEMICA,PRIMARIA,BUENOS AIRES,CARRERA 73 #3-94,(572) 3385290
19,17600101331004,25 DE JULIO,ACADEMICA,PRIMARIA,JOAQUIN BORRERO SINISTERRA,CALLE 6 #59A-51, 339 79 39
19,17600101331005,JHON F. KENNEDY,ACADEMICA,PRIMARIA,CALDAS,CARRERA 68 #3-83,337-47-46
19,17600101331006,BUENOS AIRES,ACADEMICA,ACELERACIÓN - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,BUENOS AIRES,CARRERA 73 #3-94,(572) 6641557 - (572) 6648661
19,176001001745,I.E LICEO DEPARTAMENTAL ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA,EUCARISTICO,CARRERA 37A # 8-38,(572) 5576236
19,176001001001,LA PRESENTACION,ACADEMICA,PRIMARIA,TRES DE JULIO,CALLE 5B1 #29-06,(572) 5576236
19,176001004990,LA GRAN COLOMBIA,ACADEMICA,PRIMARIA,EL CEDRO,CARRERA 24 #7-74,(572) 5580066
19,176001004485,I.E JUANA CAICEDO Y CUERO ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,EL LIDO,CARRERA 50 #1-85,(572) 3105911
19,17600100448502,SIMON BOLIVAR,ACADEMICA,PRIMARIA - ACELERACIÓN,SILOE,CALLE 1 #42A-94,(572) 6805606
19,17600100448503,ANTONIA SANTOS,ACADEMICA,PRIMARIA,SILOE/BELEN,CARRERA 38 OESTE # 3A-06 ,3325710 - 3328642
19,176001001770,I. E EUSTAQUIO PALACIOS ,ACADEMICA - MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA - CIClOS EDUCACIÓN PARA ADULTOS,LIDO,CARRERA 52 #2-51,(572) 5534257
19,17600100177002,LUIS LOPEZ DE MEZA,ACADEMICA,PRIMARIA,SILOE,CALLE 3 OESTE #42-44,(572) 5534257
19,17600100177003,SOFIA CAMARGO DE LLERAS,ACADEMICA,PRIMARIA - ACELERACIÓN,LLERAS CAMARGO,CALLE 12A OESTE,(572) 5534257
19,17600100177004,GENERAL ANZOATEGUI,ACADEMICA,PRIMARIA,LIDO,CALLE 1A #41-68,(572) 5534257
19,17600100177005,SANTIAGO RENGIFO SALCEDO,ACADEMICA,PRIMARIA - SECUNDARIA,LA SULTANA,CALLE 23 OESTE #47 - 06,(572) 5534257
19,17600100177006,FRAY CRISTOBAL DE TORRES,ACADEMICA,PRIMARIA,LLERAS CAMARGO,CARRERA 48 OESTE  #14 OESTE,(572) 5532457
19,17600100177007,MARISCAL JORGE ROBLEDO,ACADEMICA,PRIMARIA,LLERAS CAMARGO,CARRERA 44 OESTE #9-02,(572) 5532457
19,17600100177008,MIGUEL ANTONIO CARO,ACADEMICA,PRIMARIA,SILOE,CALLE 6 OESTE,(572) 5534257
19,17600100177009,MANUEL MARIA BUENAVENTURA,ACADEMICA,PRIMARIA,SECTOR SAN FRANCISCO,CARRERA  40B OESTE ,(572) 5534257
19,17600100177010,TULIO ENRIQUE TASCON,ACADEMICA,PRIMARIA,VIA CRISTO REY,KILOMETRO CINCO,(572) 5534257
19,17600100177012,CELANESE,ACADEMICA,PRIMARIA,BELEN,CALLE 5 #38B-29,(572) 5534257
20,176001037600,I.E MULTIPROPOSITO ,MEDIA TECNICA,ACELERACIÓN - SECUNDARIA - MEDIA,BELLA SUIZA,CARRERA  56  #7 OESTE 190,(572) 5135947 - (572) 5135949
20,176001004981,JORGE ELIESER GONZALES RUBIO,ACADEMICA,PRIMARIA - CICLOS EDUCACIÓN PARA ADULTOS,EL CORTIJO,CALLE  8  #52-16  OESTE,(572) 5535068
20,176001003268,LUIS ALBERTO ROSALES,ACADEMICA,PRIMARIA,TIERRA BLANCA,CARRERA  51 B  #6H-00  OESTE,(572) 5546003
20,176001004493,REPUBLICA DE PANAMA,ACADEMICA,PRIMARIA - CICLOS EDUCACIÓN PARA ADULTOS,PUEBLO JOVEN,DIAGONAL  48 #12-00  OESTE ,(572) 5513718
20,276001005877,SANTA LUISA,ACADEMICA,PRIMARIA - CICLOS EDUCACIÓN PARA ADULTOS,LA SIRENA,CALLE CENTRAL VEREDA LA SIRENA,(572) 5532637
21,176001030788,I.E CIUDADELA DESEPAZ ,TECNICO INDUSTRIAL,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,DESEPAZ,CARRERA 23 #120G-16,(572) 4200125
21,376001043455,INSTITUCION EDUCATIVA NELSON GARCÉS VERNAZA - POTRERO GRANDE,ACADEMICA - MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA,POTRERO GRANDE,CARRERA 28 ENTRE CALLES 123 Y 125,4421958 - 6801777
51,276001003289,I.E NAVARRO ,ACADEMICA - CASD,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,CABECERA NAVARRO,CORREGIMIENTO NAVARRO,(572) 5523781
51,27600100328902,JUAN DEL CORRAL,ACADEMICA,PRIMARIA,VEREDA EL ESTERO ,CORREGIMIENTO NAVARRO,337-47-46
51,176001013301,I.E  TECNICA DE BALLET CLASICO INCOLBALLET,MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA,CGTO. EL HORMIGUERO ,KILOMETRO 4 VÍA CALI JAMUNDÍ CALLEJON PÍO XII,555 3130
51,17600101330102,CAÑAS GORDAS ,ACADEMICA,PRIMARIA,CASERIO VALLE DEL LILI ,CARRERA 102 #21-81,312 9031
52,276001004889,I.E EL HORMIGUERO ,ACADEMICA - MEDIA TECNICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA,VEREDA CASCAJAL,VEREDA CASCAJAL CASA #210,(572) 5553932
52,27600100488902,ANTONIO VILLAVICENCIO,ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - CICLOS EDUCACIÓN PARA ADULTOS,EL HORMIGUERO ,CORREGIMIENTO EL HORMIGUERO CASA # 203,(572) 5553932
52,27600100488903,TULIA BORRERO MERCADO,ACADEMICA,PRIMARIA,VEREDA MORGA,VEREDA MORGA CASA # 05,(572) 5553932
53,276001008574,I.E PANCE -PRINCIPAL ,MEDIA TECNICA,SECUNDARIA - MEDIA,VEREDA LA VORAGINE ,DOS CUADRA ARRIBA DEL PUENTE DE LA VEREDA LA VORAGINE ,(572) 5550136
53,27600100857402,PIO XII,ACADEMICA,PRIMARIA,VEREDA LA VORAGINE ,ENSEGUIDA DE LA ESTACIÓN DE POLICIA VEREDA LA VORAGINE ,(572) 5574640
53,27600100857403,REPÚBLICA DE SANTO DOMINGO,ACADEMICA - MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA,PANCE CABECERA,FRENORTE A LA CANCHA DE FUTBOL PUEBLO PANCE,(572) 5550136
53,27600100857405,LAUREANO GOMEZ,ACADEMICA,PRIMARIA,VEREDA EL BANQUEO,FRENORTE A LA CANCHA DE FUTBOL VEREDA EL BANQUEO,(572) 5550136
53,27600100857406,SAN FRANCISCO,ACADEMICA,PRIMARIA,VEREDA SAN FRANCISCO,FRENORTE DEL BALNEARIO LA BOMBONERA ,(572) 5550136
54,276001005184,I.E LA BUITRERA,ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,CORREGIMIENTO LA BUITRERA,EL PLAN,(572) 3259132
54,27600100518402,CENTRO DOCENTE LOS COMUNEROS,ACADEMICA,PRIMARIA - SECUNDARIA - MEDIA,CORREGIMIENTO LA BUITRERA,ROSARIO,(572) 5529828
54,27600100518403,CENTRO DOCENTE SOLEDAD ACOSTA DE SAMPER,ACADEMICA,PRIMARIA,CORREGIMIENTO LA BUITRERA,OTOÑO,(572) 3273316
54,27600100518404,CENTRO DOCENTE NUESTRA SEÑORA DE LAS LAJAS,ACADEMICA,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,CORREGIMIENTO LA BUITRERA,PARTE MEDIA ,(572) 4228578
55,276001005133,I.E VILLACARMELO - CACIQUE CALARCA,MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,CORREGIMIENTO VILLACARMELO, CABECERA,(572) 5517522
55,27600100513302,NUESTRA SEÑORA DEL CARMEN,ACADEMICA,PRIMARIA - ACELERACIÓN,CORREGIMIENTO VILLACARMELO,VEREDA LA FONDA,(572) 5517522
56,276001011184,I.E LOS ANDES - TIERRA DE HOMBRES,ACADEMICA - CASD,PRIMARIA - SECUNDARIA - MEDIA,CORREGIMIENTO LOS ANDES,KILOMETRO 11 VÍA YANACONAS  VEREDA CABUYA  SECTOR VENTIADEROS,(572) 5502013
56,27600101118402,JUAN PABLO I,ACADEMICA,PRIMARIA - SECUNDARIA - MEDIA,CORREGIMIENTO LOS ANDES,VEREDA LOS CÁRPATOS,337-47-46
56,27600101118403,FRANCISCO JOSÉ DE CALDAS,ACADEMICA,PRIMARIA - SECUNDARIA,CORREGIMIENTO LOS ANDES,CABECERA ANDES,(572) 6626957 - (572) 6622018
57,276001022267,I.E PICHINDE - JOSE HOLGUIN GARCES ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,CORREGIMIENTO PICHINDE ,CORREGIMIENTO PICHINDE ,(572) 5559065 - (572) 5552745
57,27600102226702,SERGIO CANTILLO,ACADEMICA,PRIMARIA,CORREGIMIENTO PICHINDE ,CORREGIMIENTO PICHINDE ,(572) 6805606
57,27600102226703,LA INMACULADA CONCEPCION ,ACADEMICA,PRIMARIA,CORREGIMIENTO PICHINDE ,CORREGIMIENTO PICHINDE ,(572) 6649121
58,476001020719,I.E LA LEONERA - ITAF ,ACADEMICA - MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,LA LEONERA,LOS HOGARES -  LALEONERA,(572) 2560507
58,147600102071902,JORGE ELIECER GAITAN ,ACADEMICA,PRIMARIA, VEREDA EL PORVENIR,VEREDA EL PORVENIR,337-47-46
58,147600102071903,JUAN DE LOS BARRIOS,ACADEMICA,PRIMARIA,VEREDA EL PAJUIL,VEREDA EL PAJUIL,337-47-46
59,276001012831,I.E FELIDIA,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,CABECERA ,CORREGIMIENTO DE FELIDIA,(57) 3216426294
59,27600101283102,REPUBLICA DE CUBA,ACADEMICA,PRIMARIA,CABECERA ,CORREGIMIENTO DE FELIDIA,338-14-42
59,27600101283103,CRISTOBAL COLON,ACADEMICA,PRIMARIA, VEREDA EL DIAMANTE,CORREGIMIENTO DE FELIDIA,(572) 8934540
60,276001010994,I. E FRANCISCO JOSE LLOREDA MERA,MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,EL SALADITO,KILOMETRO 14 VIA AL MAR,(572) 5501285
60,27600101099402,IGNACIO HERRERA Y VERGARA,ACADEMICA,PRIMARIA,LA ELVIRA,VEREDA ALTO GUACATAL,(572) 5501285
60,27600101099403,FRANCISCO MIRANDA,ACADEMICA,PRIMARIA,EL SALADITO,KILOMETRO 18 VIA AL MAR,(572) 5501285
60,27600101099404,LUIS FERNANDO LLOREDA ZAMORANO,ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA,EL SALADITO,KILOMETRO 14 VIA AL MAR,(572) 5501285
60,27600101099405,BOYACA,ACADEMICA,PRIMARIA - CICLOS EDUCACIÓN PARA ADULTOS,LA ELVIRA,CORREGIMIENTO LA ELVIRA,(572) 5501285
60,27600101099406,NUEVA SAN FRANCISCO,ACADEMICA,PRIMARIA,LA ELVIRA,VEREDA LOS LAURELES,(572) 5501285
63,276001042756,I.E LA PAZ - SAAVEDRA GALINDO,ACADEMICA,SECUNDARIA,CORREGIMIENTO LA PAZ,CORREGIMIENTO LA PAZ,(572) 5215079
63,27600104275602,VILLA DEL ROSARIO,MEDIA TECNICA,MEDIA,CORREGIMIENTO LA PAZ,CORREGIMIENTO LA PAZ,(572) 5215079
63,27600104275603,JORGE ROBLEDO,ACADEMICA,PRIMARIA,CORREGIMIENTO LA PAZ,CORREGIMIENTO LA PAZ,(572) 5215079
63,27600104275604,SAGRADO CORAZON DE JESUS,ACADEMICA,PRIMARIA,CORREGIMIENTO LA CASTILLA,CORREGIMIENTO LA CASTILLA,338-14-42
63,27600104275605,LA GRANJA,ACADEMICA,SECUNDARIA,CORREGIMIENTO LA CASTILLA,CORREGIMIENTO LA CASTILLA,(572) 6649121
64,276001011354,I.E MONTEBELLO - ANTONIO RICAURTE,ACADEMICA,SECUNDARIA - MEDIA,MONTEBELLO,AVENIDA 43 OESTE #5A-49,(572) 8888760
64,27600101135402,SAN PEDRO APOSTOL,ACADEMICA,PRIMARIA - CICLOS EDUCACIÓN PARA ADULTOS,MONTEBELLO,AVENIDA LOS ESTUDIANORTES,338-14-42
64,27600101135403,ANDRES JOAQUIN LENNIS,ACADEMICA,PRIMARIA - CICLOS EDUCACIÓN PARA ADULTOS,MONTEBELLO,VEREDA CAMPOALEGRE,3325710 - 3328642
65,276001022232,I.E GOLONDRINAS ,CASD,SECUNDARIA - MEDIA,SECTOR CENTRO,CORREGIMIENTO GOLONDRINAS,(572) 5502626
65,27600102223202,ANTONIO BARBERENA,ACADEMICA,PRIMARIA,SECTOR CENTRO,CORREGIMIENTO GOLONDRINAS,3325710 - 3328642
3,17600100181805,SANTIAGO DE CALI,ACADEMICA,PRIMARIA - ACELERACIÓN,SAN NICOLAS,CALLE7 #7-74,(572) 3235588
